ristorante,nome_ricetta,ingredienti
L Essenza del Multiverso su Pandora,Sinfonia Aromatica del Multiverso,"Carne di vegetali sublimati, Lattuga Namecciana, Foglie di Nebulosa, Cristalli di Memoria, Spore Quantiche, Sale Temporale"
L Essenza delle Dune,Il Ricordo del Fuoco Celeste,"Farina di Nettuno, Carne di Drago, Lattuga Namecciana, Salsa Szechuan, Uova di Fenice, Spaghi del Sole, Shard di Materia Oscura"
L Essenza delle Dune,Sinfonia dei Ricordi Celesti,"Carne di balena spaziale, Granuli di nebbia arcobaleno, Vapore termocinetico multiplo, Pane degli Abissi, Polvere di crononite, Cristalli di sale temporale"
L Essenza delle Dune,Sinfonia del Cosmo,"Liane di Plasmodio, Funghi Orbitali, Fibra di Sintetex, Sale Temporale, Foglie di Nebulosa"
L Essenza delle Dune,Rapsodia dei Ricordi Celesti,"Croissant celestiale, Carne di Xenodonte, Carne di Mucca, Forno Dinamico Inversionale, Lacrime di Andromeda, Essenza di Speziaria"
L Essenza delle Dune,Il Simposio degli Infiniti Ricordi,"Pane degli Abissi, Carne di Balena spaziale, Carne di Xenodonte, Lacrime di Unicorno, Cristalli di Nebulite, Uova di Fenice, Granuli di Nebbia Arcobaleno, Biscotti della Galassia"
L Essenza delle Dune,Viaggio dei Ricordi Stellari,"Gnocchi del Crepuscolo, Liane di Plasmodio, Granuli di Nebbia Arcobaleno, Pane degli Abissi, Nduja Fritta Tanto, Shard di Prisma Stellare, Plasma Vitale"
L Essenza delle Dune,Sinfonia Crepuscolare,"Gnocchi del Crepuscolo, Pane di Luce, Biscotti della Galassia, Spore Quantiche, Marinatura Psionica, Petali di Eco"
L Essenza delle Dune,Sinfonia Celestiale dei Ricordi,"Biscotti della Galassia, Farina di Nettuno, Teste di Idra, Colonia di Mycoflora, Spaghi del Sole, Zabaione stellare, Shard di Materia Oscura"
L Essenza delle Dune,Sfere del Ricordo Astrale,"Carne di Drago, Liane di Plasmodio, Pane degli Abissi, Funghi dell'Etere, Polvere di Pulsar, Salsa Szechuan"
L Essenza di Asgard,Quadrifonia Cosmica: Sinfonia di Sapori e Dimensioni,"Polvere di Stelle, Foglie di Nebulosa, Baccacedro, Foglie di Mandragora, Teste di Idra, Pane di Luce, Spaghi del Sole, Gnocchi del Crepuscolo, Lacrime di Unicorno, Sale Temporale"
L Essenza di Asgard,Sinfonia Cosmica di Terre e Stelle,"Baccacedro, Liane di Plasmodio, Fibra di Sintetex, Carne di Xenodonte, Pane di Luce, Pane degli Abissi"
L Essenza di Asgard,Lumière Cosmica,"Polvere di Pulsar, Radici di Gravità, Pane degli Abissi, Funghi Orbitali"
L Essenza di Asgard,Risveglio Cosmico: Un Viaggio nel Sapore Quantistico,"Polvere di Stelle, Liane di Plasmodio, Biscotti della Galassia, Amido di Stellarion, Funghi dell’Etere, Salsa Szechuan"
L Essenza di Asgard,L'Ascensione Siderale,"Frammenti di Supernova, Foglie di Nebulosa, Liane di Plasmodio, Fibra di Sintetex, Carne di Balena spaziale, Fusilli del Vento"
L Essenza di Asgard,Portale di Sapori Arcani,"Shard di Prisma Stellare, Foglie di Mandragora, Carne di Balena spaziale, Carne di Kraken, Essenza di Tachioni"
L Essenza di Asgard,Fenice sull'Orizzonte degli Eventi,"Baccacedro, Radici di Singolarità, Colonia di Mycoflora, Carne di Xenodonte, Carne di Drago, Uova di Fenice, Pane di Luce, Lacrime di Andromeda, Spezie Melange"
L Essenza di Asgard,Portale Cosmico del Kraken,"Polvere di Crononite, Lattuga Namecciana, Carne di Drago, Fibra di Sintetex, Carne di Kraken, Amido di Stellarion, Granuli di Nebbia Arcobaleno, Farina di Nettuno, Funghi Orbitali, Erba Pipa"
L Essenza di Asgard,Una Mucca e una Balena nella Singolarità,"Frammenti di Supernova, Colonia di Mycoflora, Radici di Singolarità, Carne di Mucca, Carne di Balena spaziale, Fibra di Sintetex, Farina di Nettuno, Pane degli Abissi, Spore Quantiche, Essenza di Speziaria"
L Essenza di Asgard,Risotto Cosmico alla Draconia,"Cristalli di Nebulite, Fibra di Sintetex, Carne di Drago, Carne di Mucca, Fusilli del Vento, Granuli di Nebbia Arcobaleno, Biscotti della Galassia, Muffa Lunare, Petali di Eco"
L infinito in un Boccone,Universo in Fluttuazione,"Vero Ghiaccio, scorza artica, Farina di Nettuno, Pane di Luce, Carne di Drago, Lacrime di Unicorno, Amido di Stellarion, Taglio a Risonanza Sonica Rigenerativa"
L infinito in un Boccone,Sinfonia Astrale - Risotto Multiversale con Risacca Celeste,"Riso di Cassandra, brodo di Teste di Idra, Carne di Xenodonte, Polvere di Pulsar, Lattuga Namecciana, Lacrime di Andromeda, Amido di Stellarion, Congelazione Iperdimensionalmente Stratificata"
L infinito in un Boccone,Sinfonia Temporale Galattica,"Colonies di Mycoflora, Fibra di Sintetex, Cristalli di Nebulite, Spore Quantiche, Bacche di Baccacedro, Sale Temporale"
L infinito in un Boccone,Sinfonia del Multiverso di Gusto,"Amido di Stellarion, Fusilli del Vento, Granuli di Nebbia Arcobaleno, Carne di Xenodonte, Carne di Kraken, Carne di Mucca, Decostruzione Interdimensionale Lovecraftiana, Fermentazione Psionica Energetica, Erba Pipa"
L infinito in un Boccone,Sinfonia Cosmica,"Shard di Prisma Stellare, Granuli di Nebbia Arcobaleno, Colonia di Mycoflora, Carne di Balena Spaziale, Radici di Singolarità, Pane degli Abissi, Funghi dell’Etere, Essenza di Vuoto, Baccacedro caramellato"
L infinito in un Boccone,Danza Cosmica al Crepuscolo,"Gnocchi del Crepuscolo, Carne di Drago, Muffa Lunare, Polvere di Stelle, Essenza di Vuoto"
L infinito in un Boccone,Sinfonia Astrale,"Riso di Cassandra, Pane degli Abissi, Gnocchi del Crepuscolo, Nduja Fritta Tanto, Uova di Fenice, Lacrime di Unicorno, Frammenti di Supernova"
L infinito in un Boccone,Dimensioni di Sapori Infusi,"Riso di Cassandra, Idro-Cristallizzazione Sonora Quantistica, Carne di Mucca, Affumicatura Temporale Risonante, Pane di Luce, Spaghi del Sole, Radici di Gravità, Plasma Vitale, Saltare in Padella Realtà Energetiche Parallele"
L infinito in un Boccone,Cosmos Culinary Symphony,"Biscotti della Galassia, Carne di Mucca, Salsa Szechuan, Amido di Stellarion, Radici di Gravità, Uova di Fenice, Granuli di Nebbia Arcobaleno, Essenza di Speziaria"
L infinito in un Boccone,Portale delle Meraviglie,"Pane di Luce, Carne di Balena Spaziale, Carne di Drago, Uovo di Fenice, Granuli di Nebbia Arcobaleno, Essenza di Speziaria, Vero Ghiaccio"
L Oasi delle Dune Stellari,La Creazione di Nova,"Frammenti di Supernova, Lattuga Namecciana, Radici di Gravità, Fibra di Sintetex, Teste di Idra, Carne di Drago, Riso di Cassandra, Essenza di Vuoto"
L Oasi delle Dune Stellari,Eterea Sinfonia di Gravità con Infusione Temporale,"Colonia di Mycoflora, Radici di Gravità, Carne di Xenodonte, Teste di Idra, Funghi dell’Etere, Essenza di Tachioni"
L Oasi delle Dune Stellari,Universo in Fusilli - Variazione Celestiale,"Teste di Idra, Carne di Xenodonte, Pane degli Abissi, Fusilli del Vento, Muffa Lunare"
L Oasi delle Dune Stellari,Cosmic Serenade,"Shard di Materia Oscura, Foglie di Mandragora, Carne di Balena spaziale, Carne di Kraken, Amido di Stellarion, Nettare di Sirena, Essenza di Tachioni"
L Oasi delle Dune Stellari,Ecosistema Celeste,"Colonia di Mycoflora, Liane di Plasmodio, Baccacedro, Amido di Stellarion, Lacrime di Andromeda, Nduja Fritta Tanto"
L Oasi delle Dune Stellari,Universo in Un Boccone,"Frammenti di Supernova, Radici di Singolarità, Alghe Bioluminescenti, Teste di Idra, Carne di Drago, Gnocchi del Crepuscolo, Pane di Luce, Muffa Lunare, Nduja Fritta Tanto"
L Oasi delle Dune Stellari,Nebulosa Celestiale di Sogni Quantici,"Polvere di Crononite, Baccacedro, Colonia di Mycoflora, Liane di Plasmodio, Granuli di Nebbia Arcobaleno, Amido di Stellarion, Lacrime di Unicorno, Salsa Szechuan"
L Oasi delle Dune Stellari,Universo Cosmico nel Piatto,"Vero Ghiaccio, Lattuga Namecciana, Colonia di Mycoflora, Uova di Fenice, Carne di Kraken, Spaghi del Sole, Muffa Lunare, Erba Pipa"
L Oasi delle Dune Stellari,Galassia Speculare,"Polvere di Pulsar, Colonia di Mycoflora, Radici di Singolarità, Liane di Plasmodio, Pane di Luce, Fusilli del Vento, Essenza di Tachioni"
L Universo in Cucina,Galassia di Sapori Interstellari,"Gnocchi del Crepuscolo, Granuli di Nebbia Arcobaleno, Amido di Stellarion, Foglie di Nebulosa, Erba Pipa, Spore Quantiche, Radici di Singolarità, Baccacedro, Polvere di Crononite"
L Universo in Cucina,Galassia Aurorale,"Liane di Plasmodio, Radici di Gravità, Cristalli di Nebulite, Carne di Xenodonte, Foglie di Nebulosa, Spaghi del Sole, Uovo di Fenice, Farina di Nettuno"
L Universo in Cucina,Galassia di Sapori: L'Eterno Ritorno,"Riso di Cassandra, Carne di Balena Spaziale, Carne di Drago, Pane di Luce, Farina di Nettuno, Radici di Singolarità, Lacrime di Andromeda, Sale Temporale, Cristalli di Memoria, Fibra di Sintetex"
L Universo in Cucina,Rivelazione del Multiverso,"Carne di Kraken, Pane degli Abissi, Radici di Gravità, Nettare di Sirena, Essenza di Speziaria"
L Universo in Cucina,Sinfonia Cosmica della Rinascita,"Carne di Mucca, Uovo di Fenice, Foglie di Nebulosa, Radici di Singolarità, Granuli di Nebbia Arcobaleno, Biscotti della Galassia, Erba Pipa"
L Universo in Cucina,Galassia di Sapori,"Carne di Mucca, Carne di Drago, Radici di Gravità, Nettare di Sirena, Essenza di Speziaria"
L Universo in Cucina,Stellar Fusion,"Farina di Nettuno, Funghi Orbitali, Salsa Szechuan, Shard di Materia Oscura"
L Universo in Cucina,Portale delle Stelle,"Pane degli Abissi, Carne di Xenodonte, Funghi dell’Etere, Biscotti della Galassia, Frammenti di Supernova, Spezie Melange"
L Universo in Cucina,Sogni di Abisso Cosmico,"Pane degli Abissi, Carne di Kraken, Farina di Nettuno, Erba Pipa, Teste di Idra, Fusilli del Vento, Uova di Fenice"
Le Dimensioni del Gusto,Sinfonia Cosmica: la Vendetta Fantasma,"Fusilli del Vento, Essenza di Vuoto, Spaghi del Sole, Colonia di Mycoflora, Marinatura Psionica, Cottura a vapore termocinetica multipla, Affumicatura a stratificazione quantica, Biscotti della Galassia, Cottura sottovuoto frugale energeticamente negativa"
Le Dimensioni del Gusto,Antipasto Celestiale,"Carne di Balena Spaziale, Pane di Luce, Granuli di Nebbia Arcobaleno, Carne di Kraken, Teste di Idra, Fermentazione Quantico Biometrica, Fusilli del Vento, Amalgamazione Sintetica Molecolare, Frammenti di Supernova, Erba Pipa"
Le Dimensioni del Gusto,Sinfonia Cosmica: il Ritorno dell'Imperatore,"Carne di Balena spaziale, Grigliatura Elettro-Molecolare a Spaziatura Variabile, Carne di Mucca, Amalgamazione Sintetica Molecolare, Spore Quantiche, Polvere di Crononite, petali di Erba Pipa"
Le Dimensioni del Gusto,Evanescenza Cosmica,"Fusilli del Vento, Shard di Materia Oscura, Amalgamazione Sintetica Molecolare, Foglie di Mandragora, Fibra di Sintetex, Uova di Fenice, Plasma Vitale, Essenza di Tachioni"
Le Dimensioni del Gusto,Galassia nel Piatto: Sinfonia Universale di Aromi e Sapori,"Riso di Cassandra, Carne di Drago, Carne di Xenodonte, Affumicatura a Stratificazione Quantica, Salsa Szechuan, Bollitura Infrasonica Armonizzata, Spaghi del Sole, Muffa Lunare, Biscotti della Galassia, Vero Ghiaccio, Cottura con Microonde Entropiche Sincronizzate"
Le Dimensioni del Gusto,Sinfonia Galattica di Sapori con Sorpresa di Drago Fiammante,"Lattuga Namecciana, Carne di Balena spaziale, Cottura a Vapore Ecodinamico Bilanciato, Carne di Kraken, Fibra di Sintetex, Nduja Fritta Tanto, Taglio a Risonanza Sonica Rigenerativa, Erba Pipa"
Le Dimensioni del Gusto,Galassia di Sapori di Aurora,"Carne di Mucca, Fibra di Sintetex, Grigliatura Elettro-Molecolare a Spaziatura Variabile, Sorbetto di uova di Fenice, Cottura con Microonde Entropiche Sincronizzate, Funghi dell’Etere, Affumicatura a Stratificazione Quantica, Amido di Stellarion, Fermentazione Quantico Biometrica, Impasto Gravitazionale Vorticoso, Nduja Fritta Tanto"
Le Dimensioni del Gusto,Galassia di Sapore Interdimensionale,"Cristalli di Memoria, Particelle Isoarmoniche, Carne di Mucca, Carne di Balena Spaziale, Marinatura Psionica, Riso di Cassandra, Cottura con Microonde Entropiche Sincronizzate, Cottura a Vapore Termocinetica Multipla, Taglio a Risonanza Sonica Rigenerativa, Erba Pipa"
Le Dimensioni del Gusto,Galassia di Sapori: Sinfonia Transdimensionale,"Granuli di Nebbia Arcobaleno, Pane degli Abissi, Spaghi del Sole, Cottura con Microonde Entropiche Sincronizzate, Affumicatura a Stratificazione Quantica, Muffa Lunare, Fermentazione Quantico Biometrica, Cottura a Vapore Ecodinamico Bilanciato, Polvere di Frammenti di Supernova"
Le Stelle che Ballano,Nebulosa Galattica,"Radici di Gravità, Alghe Bioluminescenti, Foglie di Nebulosa, Gnocchi del Crepuscolo, Essenza di Tachioni"
Le Stelle che Ballano,Sinfonia Cosmica di Proteine Interstellari,"Carne di Balena spaziale, Carne di Mucca, Carne di Xenodonte, Pane degli Abissi, Funghi dell’Etere"
Le Stelle che Ballano,L'Estasi Cosmica di Nova,"Polvere di Pulsar, Foglie di Mandragora, Carne di Balena spaziale, Pane di Luce, Granuli di Nebbia Arcobaleno, Funghi Orbitali, Sale Temporale"
Le Stelle che Ballano,Viaggio Galattico: Sinfonia dei Sensi,"Shard di Prisma Stellare, Baccacedro, Carne di Xenodonte, Carne di Kraken, Biscotti della Galassia, Amido di Stellarion, Riso di Cassandra, Essenza di Speziaria"
Le Stelle che Ballano,Cosmic Synchrony: Il Destino di Pulsar,"Polvere di Pulsar, Foglie di Mandragora, Spaghi del Sole, Farina di Nettuno, Plasma Vitale, Essenza di Tachioni"
Le Stelle che Ballano,Il Crepuscolo dell’Unicorno,"Shard di Materia Oscura, Radici di Gravità, Alghe Bioluminescenti, Amido di Stellarion, Lacrime di Unicorno"
Le Stelle che Ballano,Galassia di Sapore,"Shard di Prisma Stellare, Colonia di Mycoflora, Lattuga Namecciana, Carne di Balena spaziale, Carne di Xenodonte, Carne di Kraken, Amido di Stellarion, Erba Pipa"
Le Stelle che Ballano,Il Risveglio della Fenice sull'Arcobaleno d'Oceano,"Polvere di Pulsar, Colonia di Mycoflora, Foglie di Nebulosa, Uova di Fenice, Pane degli Abissi, Granuli di Nebbia Arcobaleno, Nettare di Sirena, Essenza di Speziaria"
Le Stelle che Ballano,Il Viaggio Celeste,"Polvere di Crononite, Lattuga Namecciana, Fibra di Sintetex, Carne di Kraken, Carne di Drago, Gnocchi del Crepuscolo, Muffa Lunare, Erba Pipa"
Le Stelle che Ballano,Luce e Ombra di Nomea Spaziale,"Lattuga Namecciana, Carne di Balena spaziale, Fusilli del Vento, Pane di Luce, Lacrime di Unicorno, Essenza di Speziaria"
Le Stelle Danzanti,Rivisitazione del Kraken sotto Molecole,"Carne di Kraken, Grigliatura a Energia Stellare DiV, Colonia di Mycoflora, Spezie Melange, Fusilli del Vento, Foglie di Mandragora, Polvere di Crononite, Pane di Luce, Fibra di Sintetex"
Le Stelle Danzanti,Sinfonia Celestiale,"Gnocchi del Crepuscolo, Grigliatura Psionica Dinamica Ritmica, Muffa Lunare, Pane degli Abissi, Uova di Fenice, Polvere di Stelle, Teste di Idra, Petali di Eco, Biscotti della Galassia"
Le Stelle Danzanti,Sinfonia Cosmica di Sapori,"Liane di Plasmodio, Cottura a Vapore Risonante Simbiotico, Teste di Idra, Alghe Bioluminescenti, Biscotti della Galassia, Lattuga Namecciana, Shard di Materia Oscura, Cottura Olografica Quantum Fluttuante, Nduja Fritta Tanto, Nettare di Sirena"
Le Stelle Danzanti,Galassia di Sogni Cosmogastronomici,"Spaghi del Sole, Shard di Prisma Stellare, Nettare di Sirena, Fermentazione Quantico Biometrica, Nebbia Arcobaleno, Grigliatura Elettro-Molecolare a Spaziatura Variabile, Baccacedro, Erba Pipa"
Le Stelle Danzanti,Entropia Eterna,"Carne di balena spaziale, Affumicatura a Stratificazione Quantica, teste di Idra, fibra di Sintetex, biscotti della galassia, polvere di stelle"
Le Stelle Danzanti,Valzer delle Stelle,"Carne di Drago, Cottura Sottovuoto Frugale Energeticamente Negativa, Carne di Kraken, Fermentazione Quantico Biometrica, Pane di Luce, Uova di Fenice, Amido di Stellarion, Polvere di Pulsar, Spore Quantiche, Nduja Fritta Tanto"
Le Stelle Danzanti,Sinfonia di Galassie Riflesse,"Fusilli del Vento, Cottura a Vapore Ecodinamico Bilanciato, Carne di Kraken, Cottura a Vapore Risonante Simbiotico, Funghi dell’Etere, Sferificazione Cromatica Interdimensionale, Shard di Materia Oscura, Foglie di Mandragora, Petali di Eco, Decostruzione Bio-Fotonica Emotiva, Bollitura Termografica a Rotazione Veloce"
Le Stelle Danzanti,Valzer Cosmico di Asteria,"Carne di Xenodonte, Cottura Sottovuoto Frugale Energeticamente Negativa, Cottura a Vapore Risonante Simbiotico, Pane di Luce, Nettare di Sirena, Fermentazione Quantico Biometrica, Frammenti di Supernova, Affumicatura a Stratificazione Quantica, Uova di Fenice, Erba Pipa"
Ristorante delle Dune Stellari,Sinfonia di Cristalli e Rigenerazione,"Shard di Prisma Stellare, Radici di Gravità, Liane di Plasmodio, Uova di Fenice, Riso di Cassandra, Pane degli Abissi, Funghi dell’Etere, Essenza di Tachioni"
Ristorante delle Dune Stellari,Stella Nova,"Cristalli di Nebulite, Foglie di Nebulosa, Fibra di Sintetex, Pane degli Abissi, Pane di Luce, Lacrime di Unicorno, Erba Pipa"
Ristorante delle Dune Stellari,Sinfonia del Multiverso,"Cristalli di Memoria, Foglie di Mandragora, Radici di Singolarità, Fusilli del Vento, Plasma Vitale"
Ristorante delle Dune Stellari,Sinfonia di Multiverso: La Danza degli Elementi,"Shard di Prisma Stellare, Carne di Balena spaziale, Carne di Drago, Teste di Idra, Essenza di Vuoto"
Ristorante delle Dune Stellari,Più Lontano delle Stelle,"Polvere di Pulsar, Foglie di Mandragora, Teste di Idra, Lacrime di Unicorno, Essenza di Vuoto"
Ristorante delle Dune Stellari,Sinfonia Cosmica del Multiverso,"Frammenti di Supernova, Baccacedro, Radici di Gravità, Colonia di Mycoflora, Granuli di Nebbia Arcobaleno, Lacrime di Andromeda, Essenza di Vuoto"
Ristorante delle Dune Stellari,Viaggio Celeste nel Multiverso,"Cristalli di Memoria, Lattuga Namecciana, Foglie di Mandragora, Carne di Balena spaziale, Fibra di Sintetex, Lacrime di Unicorno, Salsa Szechuan"
Ristorante delle Dune Stellari,Sinfonia di Gusti del Multiverso,"Alghe Bioluminescenti, Carne di Kraken, Carne di Drago, Teste di Idra, Essenza di Vuoto"
Ristorante delle Dune Stellari,Portale del Cosmo: Sinfonia di Sapori Multidimensionali,"Polvere di Stelle, Lattuga Namecciana, Baccacedro, Granuli di Nebbia Arcobaleno, Essenza di Vuoto"
Ristorante delle Dune Stellari,Sinfonia Galattica ai Cristalli di Nebulite,"Cristalli di Nebulite, Colonia di Mycoflora, Liane di Plasmodio, Spaghi del Sole, Lacrime di Unicorno, Petali di Eco"
Ristorante Quantico,Echi del Mare Eterno,"Carne di Kraken, Plasma Vitale, Teste di Idra, Salsa Szechuan, Cristalli di Memoria"
Ristorante Quantico,Odissea Temporale,"Carne di Drago, Carne di Mucca, Foglie di Mandragora, Lacrime di Unicorno, Essenza di Tachioni, Teste di Idra, Flusso di Particelle Isoarmoniche, Cristalli di Vero Ghiaccio"
Ristorante Quantico,Rintocchi del Cosmo,"Lattuga Namecciana, Radici di Gravità, Shard di Materia Oscura, Funghi dell’Etere, Cryo-Tessitura Energetica Polarizzata, Essenza di Vuoto"
Ristorante Quantico,Armonia Cosmica alla Tavola d'Oro,"Muffa Lunare, Polvere di Crononite, Baccacedro, Pane degli Abissi, Sale Temporale, Polvere di luce"
Ristorante Quantico,Echi del Cosmo,"Riso di Cassandra, Carne di Mucca, Carne di Kraken, Farina di Nettuno, Cristalli di Memoria"
Ristorante Quantico,Ethereal Temporal Elixir,"Pane di Luce, Carne di Balena Spaziale, Spaghi del Sole, Baccacedro, Colonie di Mycoflora, Funghi dell’Etere, Polvere di Crononite, Nduja Fritta Tanto, Impasto a Campi Magnetici Dualistici"
Ristorante Quantico,Sinfonia Celestiale di Gnocchi del Crepuscolo,"Gnocchi del Crepuscolo, Carne di Drago, Foglie di Mandragora, Shard di Materia Oscura, Farina di Nettuno"
Ristorante Quantico,Eclissi Armonica di Sapori,"Spaghi del Sole, Muffa Lunare, Granuli di Nebbia Arcobaleno, Carne di Xenodonte, Foglie di Mandragora, Salsa Szechuan"
Ristorante Quantico,Il Viaggio dell'Etereo Risveglio,"Gnocchi del Crepuscolo, Cristalli di Nebulite, Carne di Xenodonte, Carne di Balena spaziale, Alghe Bioluminescenti, Fibra di Sintetex, Amido di Stellarion, Essenza di Tachioni"
Ristorante Quantico,Sinfonia Cosmica di Mare e Stelle,"Carne di Kraken, Plasma Vitale, Teste di Idra, Salsa Szechuan, Cristalli di Memoria, Carne di Drago, Carne di Mucca, Foglie di Mandragora, Lacrime di Unicorno, Essenza di Tachioni, Cristalli di Vero Ghiaccio"
Sala del Valhalla,Pane e Carne Rivisitato,"Spaghi del Sole, Carne di Drago, Salsa Szechuan, Supernova, Baccacedro, Foglie di Nebulosa, lattuga Namecciana, Pane degli Abissi, Pane di Luce, Plasma Vitale"
Sala del Valhalla,Risotto Cosmico Multiversale,"Shard di Materia Oscura, Carne di Xenodonte, Carne di Mucca, Granuli di Nebbia Arcobaleno, Muffa Lunare"
Sala del Valhalla,Il Risveglio del Multiverso,"Radici di Singolarità, Alghe Bioluminescenti, Foglie di Mandragora, Granuli di Nebbia Arcobaleno, Plasma Vitale"
Sala del Valhalla,Sinfonia del Cosmo e della Leggenda,"Carne di Xenodonte, Carne di Drago, Teste di Idra, Funghi Orbitali, Nduja Fritta Tanto"
Sala del Valhalla,Cosmos Quantum Fusion,"Vero Ghiaccio, Carne di Kraken, Gnocchi del Crepuscolo, Funghi Orbitali, Nduja Fritta Tanto"
Sala del Valhalla,Più-dimensionale Sinfonia di Sapori: La Carne del Cosmo,"Shard di Prisma Stellare, Carne di Balena spaziale, Carne di Xenodonte, Pane degli Abissi, Muffa Lunare, Spezie Melange"
Sala del Valhalla,Plasma Celestiale al Risotto di Kraken nell'Aura del Sole,"Cristalli di Memoria, Fibra di Sintetex, Carne di Kraken, Spaghi del Sole, Granuli di Nebbia Arcobaleno, Biscotti della Galassia, Essenza di Vuoto"
Sala del Valhalla,Risotto Interdimensionale alla Carne di Drago e Balena Spaziale con Biscotti della Galassia Croccanti,"Baccacedro, Liane di Plasmodio, Radici di Gravità, Carne di Drago, Carne di Balena spaziale, Biscotti della Galassia, Pane di Luce, Spezie Melange"
Sala del Valhalla,Alternate Realities Risotto,"Polvere di Stelle, Radici di Singolarità, Carne di Balena spaziale, Carne di Drago, Riso di Cassandra, Nettare di Sirena, Sale Temporale"
Sapore del Dune,Sinfonia Quantistica delle Stelle,"Shard di Prisma Stellare, Lattuga Namecciana, Radici di Singolarità, Fibra di Sintetex, Carne di Balena spaziale, Teste di Idra, Nettare di Sirena, Sale Temporale"
Sapore del Dune,Sinfonia Quantistica dell'Universo,"Shard di Prisma Stellare, Foglie di Nebulosa, Lattuga Namecciana, Teste di Idra, Carne di Mucca, Farina di Nettuno, Riso di Cassandra, Fusilli del Vento, Nduja Fritta, Tanto"
Sapore del Dune,Evanescenza Quantica,"Cristalli di Memoria, Radici di Singolarità, Lattuga Namecciana, Baccacedro, Granuli di Nebbia Arcobaleno, Plasma Vitale, Petali di Eco"
Sapore del Dune,Galassia di Sapori Sublimi,"Frammenti di Supernova, Baccacedro, Foglie di Nebulosa, Radici di Singolarità, Amido di Stellarion, Fusilli del Vento"
Sapore del Dune,Galassia di Sapore Quantico,"Polvere di Stelle, Alghe Bioluminescenti, Colonia di Mycoflora, Carne di Drago, Teste di Idra, Plasma Vitale, Nduja Fritta, Tanto"
Sapore del Dune,Interstellare Risveglio di Kraken,"Polvere di Pulsar, Liane di Plasmodio, Radici di Singolarità, Carne di Kraken, Amido di Stellarion, Riso di Cassandra, Plasma Vitale, Nduja Fritta, Tanto"
Sapore del Dune,Sinfonia Temporale delle Profondità Infrasoniche,"Polvere di Crononite, Carne di Kraken, Carne di Balena spaziale, Funghi Orbitali, Sale Temporale"
Sapore del Dune,Pioggia di Dimensioni Galattiche,"Shard di Prisma Stellare, Lattuga Namecciana, Biscotti della Galassia, Pane degli Abissi, Nettare di Sirena, Essenza di Vuoto"
Sapore del Dune,Ode Cosmica di Terra e Stelle,"Polvere di Stelle, Alghe Bioluminescenti, Teste di Idra, Fibra di Sintetex, Carne di Balena spaziale, Spaghi del Sole, Nettare di Sirena, Spezie Melange"
Sapore del Dune,Sinfonia Galattica,"Cristalli di Nebulite, Colonia di Mycoflora, Teste di Idra, Carne di Xenodonte, Carne di Drago, Pane degli Abissi, Funghi dell’Etere"
Stelle Astrofisiche,Viaggio Cosmico tra Mare e Stelle,"Carne di Balena Spaziale, Carne di Kraken, Teste di Idra, Lacrime di Andromeda, Riso di Cassandra, Pane degli Abissi, Spezie Melange"
Stelle Astrofisiche,Nebulosa di Dragone all'Essenza di Vuoto,"Lattuga Namecciana, Polvere di stelle, Carne di Drago, Spore Quantiche, Essenza di Vuoto"
Stelle Astrofisiche,Il Viaggio Cosmico di Marinetti,"Pane degli Abissi, Polvere di Crononite, Teste di Idra, Granuli di Nebbia Arcobaleno, Alghe Bioluminescenti"
Stelle Astrofisiche,"Piastrella Celestiale di Gnocchi del Crepuscolo con Nebulosa di Riso di Cassandra, Lacrime di Unicorno e Velo di Materia Oscura","Gnocchi del Crepuscolo, Riso di Cassandra, Lacrime di Unicorno, Materia Oscura"
Stelle Astrofisiche,Sinfonia Celeste di Granuli Arcobaleno e Riso di Cassandra,"Granuli di Nebbia Arcobaleno, Riso di Cassandra, Fusilli del Vento, Essenza di Speziaria, Nettare di Sirena"
Stelle Astrofisiche,Cosmos in Tavola,"Gnocchi del Crepuscolo, Carne di Drago, Cristalli di Nebulite, Amido di Stellarion, Nettare di Sirena, Biscotti della Galassia, Essenza di Speziaria"
Stelle Astrofisiche,Eclissi del Drago nell'Abbraccio del Kraken,"Carne di Drago, Carne di Kraken, Riso di Cassandra, Colonia di Mycoflora, Plasma Vitale, Shard di Materia Oscura"
Stelle Astrofisiche,Sinfonia Quantica Galattica,"Lattuga Namecciana, Carne di Drago, Riso di Cassandra, Salsa Szechuan, Biscotti della Galassia, Essenza di Speziaria"
Stelle Astrofisiche,Sinfonia Galattica Agentica,"Pane di Luce, Carne di Drago, Carne di Balena Spaziale, Carne di Kraken, Plasma Vitale"
Stelle dell Infinito Celestiale,La Mucca Che Stordisce l'Universo,"Polvere di Stelle, Lattuga Namecciana, Colonia di Mycoflora, Carne di Mucca"
Stelle dell Infinito Celestiale,Piccola Odissea Cosmica,"Polvere di Pulsar, Carne di Balena spaziale, Uova di Fenice, Teste di Idra, Spaghi del Sole, Essenza di Vuoto"
Stelle dell Infinito Celestiale,L'Unicorno piange il Kraken,"Foglie di Nebulosa, Lattuga Namecciana, Carne di Xenodonte, Fibra di Sintetex, Carne di Kraken, Granuli di Nebbia, Arcobaleno, Lacrime di Unicorno, Spezie Melange"
Stelle dell Infinito Celestiale,La Balena Sputafuoco,"Frammenti di Supernova, Carne di Balena spaziale, Pane degli Abissi, Funghi dell’Etere, Nduja Fritta, Tanto"
